"names","Glucose","Isobutanol","Isocitrate","Propionate","Pyruvate","Stearate","Succinate","Xylose"
"xAMINOACID","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587"
"xBIOMASS","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587","0.10569164368587"
"xLIPID","0.00010569164368587","0.00010569164368587","0.00010569164368587","0.00010569164368587","0.00010569164368587","0.00010569164368587","0.00010569164368587","0.00010569164368587"
"xPOOL_AC_EM","0.010070490966675","0","0","0.0059353746540496","0.0098027610301459","0.012298906474083","0.0002677299365292","0.010070490966675"
"xPOOL_AC_LP","0.0018781105012067","0.011948601467882","0.011948601467882","0.0060132268138322","0.0021458404377359","0.00035030500620176","0.011680871531353","0.0018781105012067"
"xPOOL_FA_LP","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176"
"y000109","0.091503665453555","0.091503665453555","0.091503665453555","0.091503665453554","0.091503665453555","0.091503665453555","0.091503665453555","0.091503665453555"
"y002202","0.00035684099522927","6.1577218577465E-5","0.00012805248354875","0","0.00040770968316982","6.6557951178334E-5","6.6557951178334E-5","0.00035684099522927"
"y002204","0.00046939481613847","1.4712810260474E-5","1.4712810260474E-5","0.0090776537195504","9.0125298384908E-5","1.4712810260474E-5","1.4712810260474E-5","0.00046939481613847"
"y002205","0.00018040707819391","0","0.0001804070781939","0.0030968118091236","0.001105107825434","0.0001804070781939","0","0.0001804070781939"
"y003573","0.000454682005878","0","0","0.0090629409092899","0.00010483810864538","3.3881317890172E-21","0","0.000454682005878"
"y003574","0","0.0001804070781939","0","0.0032772188873175","0.0012855149036279","1.3552527156069E-20","0.0001804070781939","0"
